ranking,club name ,country,point score,1 year change,previous point scored,symbol change
88,1. FC Köln,Germany,1633,105,1545,+
74,1. FC Union Berlin,Germany,1655,5,1654,+
780,12 de Octubre de Itaugua,Paraguay,1377,70,1388,-
268,1º de Agosto,Angola,1513,13,1516,-
2525,1º de Maio,Angola,1218,22,1218,-
1188,2 de Mayo,Paraguay,1326,7,1326,-
1215,3 de Febrero,Paraguay,1324,9,1324,-
626,AaB,Denmark,1407,142,1376,+
2388,Aalesund,Norway,1231,80,1225,+
1871,Aarau,Switzerland,1266,12,1266,-
733,Aberdeen,Scotland,1387,282,1446,-
1744,Aberystwyth,Wales,1275,183,1293,-
1327,Abha Club,Saudi Arabia,1311,1,1312,-
944,Abia Warriors,Nigeria,1353,164,1374,-
2011,ABM Galaxy FC,Vanuatu,1255,7,1255,-
1539,Aboomoslem,Iran,1292,29,1292,-
2004,AC Horsens,Denmark,1255,20,1256,-
2124,AC Kuya Sport,Congo DR,1249,28,1250,-
2705,AC LALA FC,Venezuela,1180,280,1230,-
2261,AC Mamahira,Mali,1241,38,1241,-
11,AC Milan,Italy,1850,21,1741,+
1747,AC Oulu,Finland,1275,241,1297,-
2327,AC Rangers,Denmark,1235,14,1240,-
1861,Academia Cantolao,Peru,1266,206,1284,-
1181,Academia F. Amadou Diallo,Ivory Coast,1327,364,1369,-
1701,Academia Puerto Cabello,Venezuela,1280,41,1276,+
2633,Academia Quintana,Puerto Rico,1201,13,1201,-
1238,Académica,Portugal,1322,1,1322,-
1768,Académica do Soyo,Angola,1272,2,1272,-
2089,Académica Lobito,Angola,1250,337,1230,+
1552,Accra Great Olympics,Ghana,1291,199,1275,+
2197,Accra Lions FC,Ghana,1244,101,1250,-
2227,ACS FC Academica Clinceni,Romania,1243,1025,1324,-
1773,ACS Poli Timişoara,Romania,1272,1,1272,-
1084,AD Grecia FC,Costa Rica,1337,193,1317,+
1581,AD Guanacasteca,Costa Rica,1289,142,1300,-
2537,AD Municipal Liberia,Costa Rica,1217,19,1217,-
1584,AD Unión Magdalena,Colombia,1288,327,1319,-
2534,Adamawa United,Nigeria,1217,189,1238,-
453,Adana Demirspor,Turkey,1445,502,1350,+
453,Adana Demirspor,Turkey,1445,502,1350,+
1577,Adanaspor,Turkey,1289,24,1289,-
1036,Adelaide United,Australia,1342,87,1351,-
1837,Admira Wacker Mödling,Austria,1268,505,1238,+
1606,ADO Den Haag,Netherlands,1287,109,1278,+
822,Aduana Stars,Ghana,1370,38,1363,+
2207,Adzopé,Ivory Coast,1244,40,1244,-
2498,AE Kouklion,Cyprus,1221,22,1221,-
211,AEK,Greece,1539,33,1552,-
260,AEK Larnaca,Cyprus,1517,26,1500,+
1924,AEL Kalloni FC,Greece,1261,11,1261,-
345,AEL Limassol,Cyprus,1476,95,1519,-
2379,AEZ Zakakiou,Cyprus,1232,32,1232,-
2695,Afan Lido,Wales,1185,7,1185,-
270,AFC Bournemouth,England,1512,7,1512,-
2301,AFC Eskilstuna,Sweden,1237,47,1237,-
1370,AFC Herrmannstadt Sibiu,Romania,1305,184,1293,+
1016,AFC UTA Arad,Romania,1345,290,1315,+
1233,Africa Sports National,Ivory Coast,1322,56,1327,-
624,AGF,Denmark,1407,126,1433,-
769,Águila,El Salvador,1380,101,1361,+
1437,Águilas,Costa Rica,1300,1,1300,-
851,Águilas Doradas,Colombia,1366,39,1369,-
1453,Aigle Royal,Cameroon,1299,25,1299,-
249,AIK,Sweden,1522,23,1506,+
2108,Aïn Fakroun,Algeria,1250,42,1250,-
2685,Air Force Central FC,Thailand,1188,8,1188,-
2464,Air India,India,1224,25,1224,-
1459,Airbus UK Broughton FC,Wales,1299,27,1299,-
1675,Aizawl,India,1282,77,1289,-
823,Ajaccio,France,1369,13,1369,-
955,Ajax,Congo DR,1352,14,1352,-
7,Ajax Amsterdam,Netherlands,1905,4,1850,+
1111,Ajax Cape Town,South Africa,1334,2,1334,-
2726,Ajax Lasnamäe,Estonia,1173,2,1173,-
2436,Ajman Club,United Arab Emirates,1226,157,1211,+
1482,Akademija Pandev,Macedonia,1298,359,1267,+
2175,Akademik Sofia,Bulgaria,1246,43,1246,-
1005,Akhisar Belediye,Turkey,1345,4,1345,-
1843,Akokana,Niger,1268,13,1268,-
876,Aktobe,Kazakhstan,1362,71,1370,-
1457,Akwa Starlets,Nigeria,1299,220,1322,-
520,Akwa United,Nigeria,1431,15,1427,+
1926,Akzhaiyk Uralsk,Kazakhstan,1261,27,1259,+
2131,AL Adalh FC,Saudi Arabia,1248,40,1248,-
530,AL Ahed,Lebanon,1427,109,1403,+
358,Al Ahli,United Arab Emirates,1472,36,1489,-
1630,Al Ahli,Qatar,1286,7,1287,-
2005,Al Ahli Khartoum,Sudan,1255,5,1255,-
2664,Al Ahli SC Amman,Jordan,1193,13,1193,-
1512,Al Ahli Tripoli,Libya,1295,20,1295,-
2362,Al Ahli Wad Medani,Sudan,1233,34,1233,-
35,Al Ahly,Egypt,1746,7,1717,+
1876,Al Ahly Benghazi,Libya,1265,14,1265,-
2074,Al Ahly Merowe,Sudan,1252,1,1252,-
790,Al Ahly Shendi,Sudan,1376,20,1376,-
2120,Al Akhaa Al Ahli,Lebanon,1249,210,1262,-
2404,Al Amir,Sudan,1230,27,1230,-
2434,Al Ansar FC (Medina),Saudi Arabia,1226,26,1226,-
889,AL Ansar SC,Lebanon,1360,47,1353,+
2493,Al Asalah,Jordan,1221,24,1221,-
1579,Al Batin,Saudi Arabia,1289,48,1287,+
2710,Al Egtmaaey Tripoli,Lebanon,1179,5,1179,-
999,AL Ettifaq FC,Saudi Arabia,1346,131,1361,-
2103,Al Fallah Atbara FC,Sudan,1250,45,1250,-
808,Al Fateh FC,Saudi Arabia,1373,24,1373,-
1260,Al Feiha,Saudi Arabia,1319,263,1296,+
2679,Al Fujairah,United Arab Emirates,1189,6,1194,-
798,AL Gharafa,Qatar,1375,73,1385,-
2612,AL Hazem FC,Saudi Arabia,1205,107,1222,-
69,Al Hilal,Saudi Arabia,1667,27,1618,+
1913,Al Hilal Kadougli,Sudan,1262,11,1262,-
275,Al Hilal Omdurman,Sudan,1510,38,1525,-
2341,Al Hilal Port Sudan,Sudan,1234,42,1234,-
2586,Al Islah Bourg Shamaly,Lebanon,1209,18,1209,-
266,Al Ittihad,Saudi Arabia,1514,240,1432,+
2552,Al Ittihad,Sudan,1215,22,1215,-
2625,Al Ittihad Kalba,United Arab Emirates,1203,57,1192,+
827,Al Khartoum SC,Sudan,1369,13,1369,-
570,Al Masry,Egypt,1419,108,1442,-
2641,Al Mesaimeer,Qatar,1199,13,1199,-
1039,Al Mokawloon Al Arab,Egypt,1342,154,1359,-
2470,Al Mourada,Sudan,1223,25,1223,-
1896,Al Nahdha Dammam,Saudi Arabia,1264,12,1264,-
787,Al Nasr,United Arab Emirates,1376,105,1393,-
2422,Al Nasr FC,Egypt,1228,26,1228,-
209,Al Nassr,Saudi Arabia,1540,0,1537,+
1402,AL Qadisiyah FC,Saudi Arabia,1303,68,1311,-
2178,Al Qadsia,Kuwait,1245,44,1245,-
2234,Al Quwa Al Jawiya,Iraq,1242,33,1242,-
2577,Al Rabta Kosti,Sudan,1212,14,1212,-
1256,Al Raed,Saudi Arabia,1319,259,1346,-
1892,AL Safa,Lebanon,1264,186,1279,-
337,Al Shabab,Saudi Arabia,1480,68,1458,+
933,Al Shabab,United Arab Emirates,1354,7,1354,-
2463,Al Shabab Al Arabi Beirut,Lebanon,1224,25,1224,-
1985,Al Sharkeyah,Egypt,1257,17,1257,-
2604,Al Shimali,Sudan,1206,18,1206,-
1633,Al Shoalah,Saudi Arabia,1286,9,1286,-
2449,Al Shorta Al Qadarif,Sudan,1225,24,1225,-
2048,AL Shorta SC,Iraq,1253,9,1253,-
685,Al Taawon,Saudi Arabia,1395,96,1414,-
2291,AL Tadamon Sour,Lebanon,1238,69,1236,+
2413,Al Urooba Club,United Arab Emirates,1229,317,1250,-
433,Al Wahda,United Arab Emirates,1451,4,1452,-
1421,Al Wahda,Saudi Arabia,1301,88,1297,+
1312,Al Wasl,United Arab Emirates,1312,56,1306,+
647,Al-Ahli,Saudi Arabia,1402,203,1448,-
2196,Al-Ahli Atbara,Sudan,1244,43,1244,-
272,Al-Ain FC,United Arab Emirates,1511,25,1497,+
2032,Al-Ain FC,Saudi Arabia,1254,224,1269,-
1124,Al-Arabi Doha,Qatar,1332,142,1318,+
2746,Al-Baqa'a SC,Jordan,1156,98,1201,-
1692,Al-Bourj FC,Lebanon,1280,246,1260,+
2361,Al-Dhafra,United Arab Emirates,1233,272,1251,-
120,Al-Duhail SC,Qatar,1597,5,1602,-
949,Al-Faisaly FC Harmah,Saudi Arabia,1353,194,1379,-
1094,Al-Faisaly SC Amman,Jordan,1336,66,1328,+
2693,Al-Hikma,Lebanon,1186,27,1196,-
2366,Al-Hussein SC Irbid,Jordan,1232,206,1215,+
841,Al-Ittihad,Libya,1367,11,1367,-
969,Al-Ittihad Al-Sakandary,Egypt,1351,19,1348,+
2398,Al-Jalil,Jordan,1230,238,1249,-
1025,Al-Jazeera Amman,Jordan,1344,141,1360,-
481,Al-Jazira,United Arab Emirates,1439,70,1456,-
481,Al-Jazira,United Arab Emirates,1439,70,1456,-
1394,Al-Khaleej Club,Saudi Arabia,1303,1,1303,-
2558,Al-Kharitiyat,Qatar,1214,4,1216,-
2249,Al-Khor,Qatar,1241,212,1253,-
2204,Al-Markhiya Sports Club,Qatar,1244,41,1244,-
2592,Al-Mergheni,Sudan,1209,17,1209,-
321,Al-Merreikh,Sudan,1486,30,1500,-
2608,Al-Nil,Sudan,1206,16,1206,-
1764,Al-Orobah FC,Saudi Arabia,1273,3,1273,-
1223,Al-Ramtha SC,Jordan,1323,297,1296,+
802,Al-Rayyan,Qatar,1374,136,1395,-
104,Al-Sadd,Qatar,1613,28,1586,+
1652,Al-Sailiya,Qatar,1284,235,1302,-
1485,Al-Salt,Jordan,1298,236,1278,+
2652,Al-Sareeh SC,Jordan,1196,14,1196,-
2732,Al-Shaab,United Arab Emirates,1169,2,1169,-
2325,Al-Shahania S.C.,Qatar,1235,18,1238,-
2657,Al-Shamal SC,Qatar,1194,47,1185,+
1500,Al-Tai FC,Saudi Arabia,1296,61,1300,-
1587,Al-Wakra,Qatar,1288,326,1261,+
557,Al-Wehdat SC,Jordan,1422,56,1407,+
2559,Al-Yarmouk FC,Jordan,1214,20,1214,-
1612,Al-Zawraa SC,Iraq,1287,50,1284,+
2672,Ala'ab Damanhour,Egypt,1190,13,1190,-
2579,Alacranes del Norte,El Salvador,1210,18,1210,-
1994,Alamal Atbara,Sudan,1256,12,1256,-
1458,Alaniya,Russia,1299,27,1299,-
326,Alanyaspor,Turkey,1483,12,1483,-
1013,Albion F.C.,Uruguay,1345,58,1350,-
1484,Albirex Niigata,Japan,1298,17,1298,-
403,Aldosivi,Argentina,1460,110,1430,+
1634,Alianza,Panama,1286,451,1251,+
1440,Alianza Atlético,Peru,1300,566,1255,+
320,Alianza FC,El Salvador,1487,6,1487,-
524,Alianza Lima,Peru,1429,615,1331,+
803,Alianza Petrolera,Colombia,1374,844,1285,+
