,price,yellow_card_champ,yellow_card_cup,goal_continent,assist_continent,yellow_card_continent,score_goal_cup,score_goal_champ,score_goals_selection,score_assist_cup,score_assist_champ,score_selections_nation
1019,1000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1892,100000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2548,3000000.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
3137,4000000.0,18.0,2.0,0.0,1.0,2.0,0.0,33.0,4.0,3.0,22.0,18.0
2576,500000.0,34.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,19.0,0.0
12125,200000.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3312,4500000.0,86.0,11.0,1.0,1.0,11.0,4.0,14.0,7.0,4.0,11.0,116.0
11233,100000.0,15.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,7.0,0.0
9227,1000000.0,42.0,6.0,22.0,10.0,16.0,26.0,149.0,13.0,8.0,74.0,76.0
4792,16000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7714,450000.0,35.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,10.0,0.0
11280,150000.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
305,1000000.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5009,550000.0,12.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,0.0,7.0,8.0
10476,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5164,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10520,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,14.0
11711,50000.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3285,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,40000000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3496,700000.0,46.0,6.0,0.0,0.0,0.0,5.0,20.0,0.0,1.0,17.0,1.0
7844,750000.0,51.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,3.0,0.0
381,350000.0,21.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,2.0
3621,400000.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
9815,200000.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4442,20000000.0,44.0,0.0,2.0,5.0,4.0,4.0,19.0,0.0,2.0,14.0,0.0
11090,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8011,2000000.0,44.0,11.0,1.0,1.0,12.0,3.0,8.0,1.0,3.0,18.0,6.0
2004,425000.0,30.0,3.0,0.0,0.0,0.0,4.0,52.0,1.0,2.0,14.0,3.0
3298,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2685,4000000.0,12.0,1.0,0.0,0.0,0.0,4.0,23.0,0.0,1.0,15.0,0.0
3592,1500000.0,21.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,16.0,7.0
12115,300000.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0
10564,50000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9207,500000.0,65.0,6.0,6.0,2.0,14.0,3.0,27.0,1.0,1.0,9.0,31.0
11601,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
5103,225000.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0
11438,400000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
3901,500000.0,29.0,1.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,9.0,0.0
10630,50000.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,13.0
4381,10000000.0,29.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,18.0
