,red_card_continent,age,nation,league,team,goals_selection,selections_nation,position,price,goal_champ,assist_champ,own_goal_champ,yellow_card_champ,second_yellow_card_champ,red_card_champ,goal_cup,assist_cup,own_goal_cup,yellow_card_cup,second_yellow_card_cup,red_card_cup,goal_continent,assist_continent,own_goal_continent,yellow_card_continent,second_yellow_card_continent
1019,0.0,23,Tunisia,Ligue1,OGCNice,0,4,Goalkeeper,1000000.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1892,0.0,20,CzechRepublic,FortunaLiga,1.FKPribram,0,1,LeftWinger,100000.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2548,7.0,31,Canada,SuperLiga,RedStar,0,40,Goalkeeper,3000000.0,0.0,0.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,25.0
3137,0.0,22,Belgium,JupilerProLeague,ClubBrugge,4,18,SecondStriker,4000000.0,33.0,22.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
2576,0.0,29,Ukraine,PremierLiga,Chornomorets,0,0,LeftMidfield,500000.0,20.0,19.0,0.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12125,0.0,25,Japan,J1League,MatsumotoYama.,0,0,LeftMidfield,200000.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3312,1.0,31,Chile,SüperLig,Besiktas,7,116,DefensiveMidfield,4500000.0,14.0,11.0,0.0,86.0,6.0,3.0,4.0,4.0,0.0,11.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0
11233,0.0,32,Iran,PersianGulfProLeague,ParsJam,0,0,RightWinger,100000.0,16.0,7.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9227,0.0,34,Argentina,PrimeraDivisión,BocaJuniors,13,76,SecondStriker,1000000.0,149.0,74.0,0.0,42.0,0.0,1.0,26.0,8.0,0.0,6.0,0.0,0.0,22.0,10.0,0.0,16.0,0.0
4792,0.0,21,Italy,SerieA,SSCNapoli,0,0,Goalkeeper,16000000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
7714,0.0,27,Uruguay,PrimeraDivisión,Wanderers,0,0,DefensiveMidfield,450000.0,3.0,10.0,0.0,35.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
11280,0.0,29,Iran,PersianGulfProLeague,Sepidrood,0,0,CentralMidfield,150000.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,6.0,37,Argentina,PremierLeague,Chelsea,0,5,Goalkeeper,1000000.0,0.0,0.0,1.0,16.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,0.0,23.0
5009,0.0,23,SouthAfrica,ABSAPremiership,BidvestWitsFC,1,8,SecondStriker,550000.0,10.0,7.0,0.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10476,0.0,25,Myanmar,NationalLeague,SagaingUtd.,0,0,Defender,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5164,0.0,21,Algeria,LigueProfessionnelle1,CRBelouizdad,0,0,Goalkeeper,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10520,0.0,24,Myanmar,NationalLeague,ShanUtd.,2,14,Midfielder,25000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11711,0.0,23,Thailand,ThaiLeague,ChainatFC,0,1,CentralMidfield,50000.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3285,0.0,32,Turkey,SüperLig,Alanyaspor,0,0,Goalkeeper,100000.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
218,0.0,24,England,PremierLeague,Everton,0,15,Goalkeeper,40000000.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,7.0
3496,0.0,30,Greece,SuperLeague,AtromitosAthen,0,1,AttackingMidfield,700000.0,20.0,17.0,0.0,46.0,1.0,0.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7844,0.0,37,Brazil,SérieB,Londrina0PR,0,0,DefensiveMidfield,750000.0,34.0,3.0,1.0,51.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,0.0,27,Serbia,Ligatha'Al,FCAshdod,0,2,RightWinger,350000.0,22.0,22.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3621,0.0,21,Russia,PremierLiga,DinamoMoscow,0,0,RightWinger,400000.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9815,0.0,30,Uzbekistan,Superliga,Bukhara,0,0,CentralMidfield,200000.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4442,0.0,27,Spain,LaLiga,Villarreal,0,0,CentralMidfield,20000000.0,19.0,14.0,1.0,44.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0
11090,0.0,33,Martinique,NewZealandPremiership,TeamWellington,0,1,Forward,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8011,0.0,30,Brazil,SérieB,BotafogoFC,1,6,DefensiveMidfield,2000000.0,8.0,18.0,0.0,44.0,5.0,1.0,3.0,3.0,0.0,11.0,3.0,0.0,1.0,1.0,0.0,12.0,0.0
