iter	RMSE
0	6367992.941
1	6365904.535
2	6363987.985
3	6361677.668
4	6359309.989
5	6356999.302
6	6354940.376
7	6352827.981
8	6350738.361
9	6348537.357
10	6346075.635
11	6343762.678
12	6341889.901
13	6339635.815
14	6337580.898
15	6335547.478
16	6333150.677
17	6331073.846
18	6328949.729
19	6326775.536
20	6324658.119
21	6322653.562
22	6320598.449
23	6318487.635
24	6316384.493
25	6314444.719
26	6312077.3
27	6310217.405
28	6307762.681
29	6305234.776
30	6303550.374
31	6301318.358
32	6299026.443
33	6296653.774
34	6294296.708
35	6292199.601
36	6289909.775
37	6287545.752
38	6285684.275
39	6283620.943
40	6281873.753
41	6279816.508
42	6277796.928
43	6275487.386
44	6273471.361
45	6271319.157
46	6268937.745
47	6266812.781
48	6264516.656
49	6262825.109
50	6261119.008
51	6259416.168
52	6257366.687
53	6255495.363
54	6253500.063
55	6251283.426
56	6249305.444
57	6247029.586
58	6245252.027
59	6243057.119
60	6240864.361
61	6238272.484
62	6235783.438
63	6233560.81
64	6231272.828
65	6229375.868
66	6227421.209
67	6225032.47
68	6222939.632
69	6220614.945
70	6218435.545
71	6216417.8
72	6214502.914
73	6212646.046
74	6210730.161
75	6209007.325
76	6206852.113
77	6204621.538
78	6202266.6
79	6199839.07
80	6197895.996
81	6195643.791
82	6193828.369
83	6191886.392
84	6189773.581
85	6187265.775
86	6185373.963
87	6183570.096
88	6181164.4
89	6178951.991
90	6176624.634
91	6174518.087
92	6172457.356
93	6170569.243
94	6168714.934
95	6166540.937
96	6164600.161
97	6162470.694
98	6160567.455
99	6158163.568
100	6156109.43
101	6154147.435
102	6152373.581
103	6150043.695
104	6147793.207
105	6145624.193
106	6143825.549
107	6142036.768
108	6139848.473
109	6138073.471
110	6135748.877
111	6134021.942
112	6131781.036
113	6129644.22
114	6127560.804
115	6125437.847
116	6123393.881
117	6121301.42
118	6118986.046
119	6116806.508
120	6114635.424
121	6112273.41
122	6109765.893
123	6107612.958
124	6105483.33
125	6103347.378
126	6101380.491
127	6099417.584
128	6097253.874
129	6095265.267
130	6093153.047
131	6091020.38
132	6088701.145
133	6086760.17
134	6084984.023
135	6082965.982
136	6081251.153
137	6079169.244
138	6077064.373
139	6075082.395
140	6072771.245
141	6070607.912
142	6068414.589
143	6066069.099
144	6064185.824
145	6061953.501
146	6060061.326
147	6057812.385
148	6055844.127
149	6054040.127
150	6052295.839
151	6050361.673
152	6048476.353
153	6046563.474
154	6044711.091
155	6042850.873
156	6040890.289
157	6038888.568
158	6037035.701
159	6034737.159
160	6032697.514
161	6030928.319
162	6028974.871
163	6027208.153
164	6025162.492
165	6023127.135
